match_id,batter,inning,Team,Opposition,Over,Ball,Runs,BF,Dots,Fours,Sixes,Out,Dismissal_Kind,Fall_of_Wicket,Strike_rate
981009,DJ Hooda,2,Sunrisers Hyderabad,Kolkata Knight Riders,14,5,2,2,0,0,0,1,run out,115/5,100.0
981009,MC Henriques,2,Sunrisers Hyderabad,Kolkata Knight Riders,15,3,11,10,3,1,0,1,bowled,136/7,110.0
981009,KV Sharma,2,Sunrisers Hyderabad,Kolkata Knight Riders,15,6,8,11,7,0,0,0,,,72.73
981009,B Kumar,2,Sunrisers Hyderabad,Kolkata Knight Riders,18,4,5,4,2,1,0,1,caught,144/8,125.0
981009,BB Sran,2,Sunrisers Hyderabad,Kolkata Knight Riders,19,3,2,2,0,0,0,0,,,100.0
981011,Q de Kock,1,Delhi Capitals,Royal Challengers Bengaluru,0,1,60,51,17,5,1,1,caught,107/7,117.65
981011,RR Pant,1,Delhi Capitals,Royal Challengers Bengaluru,0,2,1,2,1,0,0,1,caught,11/1,50.0
981011,KK Nair,1,Delhi Capitals,Royal Challengers Bengaluru,1,3,11,10,5,0,1,1,caught,42/2,110.0
981011,SV Samson,1,Delhi Capitals,Royal Challengers Bengaluru,6,2,17,12,3,1,1,1,caught,71/3,141.67
981011,SW Billings,1,Delhi Capitals,Royal Challengers Bengaluru,9,4,4,6,3,0,0,1,caught,81/4,66.67
981011,P Negi,1,Delhi Capitals,Royal Challengers Bengaluru,11,3,6,12,7,0,0,1,caught,96/5,50.0
981011,CR Brathwaite,1,Delhi Capitals,Royal Challengers Bengaluru,14,5,1,2,1,0,0,1,caught,98/6,50.0
981011,CH Morris,1,Delhi Capitals,Royal Challengers Bengaluru,15,2,27,18,5,3,0,1,run out,138/8,150.0
981011,J Yadav,1,Delhi Capitals,Royal Challengers Bengaluru,17,6,5,7,2,0,0,0,,,71.43
981011,CH Gayle,2,Royal Challengers Bengaluru,Delhi Capitals,0,1,1,4,3,0,0,1,bowled,5/1,25.0
981011,V Kohli,2,Royal Challengers Bengaluru,Delhi Capitals,0,4,54,45,12,6,0,0,,,120.0
981011,AB de Villiers,2,Royal Challengers Bengaluru,Delhi Capitals,1,2,6,8,7,1,0,1,caught,17/2,75.0
981011,KL Rahul,2,Royal Challengers Bengaluru,Delhi Capitals,2,5,38,23,6,4,1,1,bowled,83/3,165.22
981011,SR Watson,2,Royal Challengers Bengaluru,Delhi Capitals,10,2,14,18,10,0,1,1,caught,111/4,77.78
981011,STR Binny,2,Royal Challengers Bengaluru,Delhi Capitals,15,1,16,11,5,2,0,0,,,145.45
981013,AJ Finch,1,Gujarat Titans,Royal Challengers Bengaluru,0,1,4,6,5,1,0,1,caught,6/2,66.67
981013,BB McCullum,1,Gujarat Titans,Royal Challengers Bengaluru,0,4,1,4,3,0,0,1,caught,2/1,25.0
981013,KD Karthik,1,Gujarat Titans,Royal Challengers Bengaluru,1,5,26,30,13,2,0,1,bowled,94/4,86.67
981013,SK Raina,1,Gujarat Titans,Royal Challengers Bengaluru,1,6,1,9,8,0,0,1,caught,9/3,11.11
981013,DR Smith,1,Gujarat Titans,Royal Challengers Bengaluru,3,5,73,41,13,5,6,1,caught,115/6,178.05
981013,RA Jadeja,1,Gujarat Titans,Royal Challengers Bengaluru,13,6,3,7,5,0,0,1,caught,107/5,42.86
981013,DJ Bravo,1,Gujarat Titans,Royal Challengers Bengaluru,15,7,8,6,2,1,0,1,bowled,145/8,133.33
981013,ER Dwivedi,1,Gujarat Titans,Royal Challengers Bengaluru,16,5,19,9,3,1,2,1,caught,145/7,211.11
981013,P Kumar,1,Gujarat Titans,Royal Challengers Bengaluru,18,5,1,2,2,0,0,1,bowled,156/9,50.0
981013,DS Kulkarni,1,Gujarat Titans,Royal Challengers Bengaluru,18,6,10,4,0,2,0,1,run out,158/10,250.0
981013,SB Jakati,1,Gujarat Titans,Royal Challengers Bengaluru,19,4,1,2,1,0,0,0,,,50.0
