date,id
04-05-2017,1082632
05-05-2017,1082633
06-05-2017,1082634
06-05-2017,1082635
07-05-2017,1082636
07-05-2017,1082637
08-05-2017,1082638
09-05-2017,1082639
10-05-2017,1082640
11-05-2017,1082641
12-05-2017,1082642
13-05-2017,1082643
13-05-2017,1082644
14-05-2017,1082645
14-05-2017,1082646
16-05-2017,1082647
17-05-2017,1082648
19-05-2017,1082649
21-05-2017,1082650
07-04-2018,1136561
08-04-2018,1136562
08-04-2018,1136563
09-04-2018,1136564
10-04-2018,1136565
11-04-2018,1136566
12-04-2018,1136567
13-04-2018,1136568
14-04-2018,1136569
14-04-2018,1136570
15-04-2018,1136571
15-04-2018,1136572
16-04-2018,1136573
17-04-2018,1136574
18-04-2018,1136575
19-04-2018,1136576
20-04-2018,1136577
21-04-2018,1136578
21-04-2018,1136579
22-04-2018,1136580
22-04-2018,1136581
23-04-2018,1136582
24-04-2018,1136583
25-04-2018,1136584
26-04-2018,1136585
27-04-2018,1136586
28-04-2018,1136587
29-04-2018,1136588
29-04-2018,1136589
30-04-2018,1136590
01-05-2018,1136591
02-05-2018,1136592
03-05-2018,1136593
04-05-2018,1136594
05-05-2018,1136595
05-05-2018,1136596
06-05-2018,1136597
06-05-2018,1136598
07-05-2018,1136599
08-05-2018,1136600
09-05-2018,1136601
10-05-2018,1136602
11-05-2018,1136603
12-05-2018,1136604
12-05-2018,1136605
13-05-2018,1136606
13-05-2018,1136607
14-05-2018,1136608
15-05-2018,1136609
16-05-2018,1136610
17-05-2018,1136611
18-05-2018,1136612
19-05-2018,1136613
19-05-2018,1136614
20-05-2018,1136615
20-05-2018,1136616
22-05-2018,1136617
23-05-2018,1136618
25-05-2018,1136619
27-05-2018,1136620
23-03-2019,1175356
24-03-2019,1175357
24-03-2019,1175358
25-03-2019,1175359
26-03-2019,1175360
27-03-2019,1175361
28-03-2019,1175362
29-03-2019,1175363
30-03-2019,1175364
30-03-2019,1175365
31-03-2019,1175366
31-03-2019,1175367
01-04-2019,1175368
02-04-2019,1175369
03-04-2019,1175370
04-04-2019,1175371
05-04-2019,1175372
06-04-2019,1178393
06-04-2019,1178394
07-04-2019,1178395
07-04-2019,1178396
08-04-2019,1178397
09-04-2019,1178398
10-04-2019,1178399
11-04-2019,1178400
12-04-2019,1178401
13-04-2019,1178402
13-04-2019,1178403
14-04-2019,1178404
14-04-2019,1178405
15-04-2019,1178406
16-04-2019,1178407
17-04-2019,1178408
18-04-2019,1178409
19-04-2019,1178410
20-04-2019,1178411
20-04-2019,1178412
21-04-2019,1178413
21-04-2019,1178414
22-04-2019,1178415
23-04-2019,1178416
24-04-2019,1178417
25-04-2019,1178418
26-04-2019,1178419
27-04-2019,1178420
28-04-2019,1178421
28-04-2019,1178422
29-04-2019,1178423
30-04-2019,1178424
01-05-2019,1178425
02-05-2019,1178426
03-05-2019,1178427
04-05-2019,1178428
04-05-2019,1178429
05-05-2019,1178430
05-05-2019,1178431
07-05-2019,1181764
08-05-2019,1181766
10-05-2019,1181767
12-05-2019,1181768
19-09-2020,1216492
20-09-2020,1216493
21-09-2020,1216534
22-09-2020,1216496
23-09-2020,1216508
24-09-2020,1216510
25-09-2020,1216539
26-09-2020,1216545
27-09-2020,1216527
28-09-2020,1216547
29-09-2020,1216532
30-09-2020,1216504
01-10-2020,1216503
02-10-2020,1216516
03-10-2020,1216514
03-10-2020,1216515
04-10-2020,1216513
04-10-2020,1216538
05-10-2020,1216519
06-10-2020,1216511
07-10-2020,1216501
08-10-2020,1216542
09-10-2020,1216500
10-10-2020,1216523
10-10-2020,1216525
11-10-2020,1216507
11-10-2020,1216529
12-10-2020,1216540
13-10-2020,1216528
14-10-2020,1216543
15-10-2020,1216531
16-10-2020,1216526
17-10-2020,1216509
17-10-2020,1216522
18-10-2020,1216512
18-10-2020,1216517
19-10-2020,1216533
20-10-2020,1216546
21-10-2020,1216494
22-10-2020,1216518
23-10-2020,1216521
24-10-2020,1216497
24-10-2020,1216498
25-10-2020,1216541
25-10-2020,1216544
26-10-2020,1216520
27-10-2020,1216524
28-10-2020,1216499
29-10-2020,1216536
30-10-2020,1216537
31-10-2020,1216502
31-10-2020,1216535
01-11-2020,1216506
01-11-2020,1216530
02-11-2020,1216505
03-11-2020,1216495
05-11-2020,1237177
06-11-2020,1237178
08-11-2020,1237180
10-11-2020,1237181
09-04-2021,1254058
10-04-2021,1254059
11-04-2021,1254060
12-04-2021,1254061
13-04-2021,1254062
14-04-2021,1254063
15-04-2021,1254064
16-04-2021,1254065
17-04-2021,1254066
18-04-2021,1254067
18-04-2021,1254068
19-04-2021,1254069
20-04-2021,1254070
21-04-2021,1254071
21-04-2021,1254072
22-04-2021,1254073
23-04-2021,1254074
24-04-2021,1254075
25-04-2021,1254076
25-04-2021,1254077
26-04-2021,1254078
27-04-2021,1254079
28-04-2021,1254080
29-04-2021,1254081
29-04-2021,1254082
30-04-2021,1254083
01-05-2021,1254084
02-05-2021,1254085
02-05-2021,1254086
19-09-2021,1254104
20-09-2021,1254087
21-09-2021,1254111
22-09-2021,1254105
23-09-2021,1254096
24-09-2021,1254113
25-09-2021,1254097
25-09-2021,1254107
26-09-2021,1254098
26-09-2021,1254108
27-09-2021,1254100
28-09-2021,1254092
28-09-2021,1254099
29-09-2021,1254103
30-09-2021,1254091
01-10-2021,1254102
02-10-2021,1254089
02-10-2021,1254112
03-10-2021,1254090
03-10-2021,1254109
04-10-2021,1254110
05-10-2021,1254093
06-10-2021,1254095
07-10-2021,1254094
07-10-2021,1254106
08-10-2021,1254088
08-10-2021,1254101
10-10-2021,1254114
11-10-2021,1254115
13-10-2021,1254116
15-10-2021,1254117
26-03-2022,1304047
27-03-2022,1304048
27-03-2022,1304049
28-03-2022,1304050
29-03-2022,1304051
30-03-2022,1304052
31-03-2022,1304053
01-04-2022,1304054
02-04-2022,1304055
02-04-2022,1304056
